method,config,seed,composite,weighted_tardiness,setup_cost,makespan
SPT,small_3m,5,0.3333333333333333,0.0,42.291831970214844,133.14776611328125
SPT,small_3m,6,0.3051583139580364,0.0,47.887535095214844,104.72824096679688
SPT,small_3m,7,0.38202023809279473,8.144256591796875,48.711570739746094,105.09416198730469
SPT,small_3m,8,0.2170835430236053,0.0,32.17607498168945,114.89311218261719
SPT,small_3m,9,0.20963665328209902,0.0,58.423927307128906,150.73780822753906
SPT,small_3m,10,0.17573290744364375,0.0,36.925743103027344,130.25765991210938
SPT,small_3m,11,0.4584409742812589,32.59435272216797,71.33010864257812,115.78379821777344
SPT,small_3m,12,0.16866432746429455,0.0,26.55246353149414,111.73645782470703
SPT,small_3m,13,0.3333333333333333,0.0,73.21929168701172,105.87281036376953
SPT,small_3m,14,0.3333333333333333,0.0,53.41529083251953,100.63660430908203
SPT,small_3m,15,0.2850313334485741,0.0,38.080055236816406,109.55207824707031
SPT,small_3m,16,0.22411126278249155,0.0,55.52463912963867,141.14488220214844
SPT,small_3m,17,0.3333333333333333,0.0,51.01910400390625,105.14904022216797
SPT,small_3m,18,0.15051626897458203,0.0,32.113525390625,117.00592803955078
SPT,small_3m,19,0.1936869854803532,0.0,23.66568374633789,108.98060607910156
SPT,small_3m,20,0.25823958659115565,0.0,34.17858123779297,104.5862808227539
SPT,small_3m,21,0.3333333333333333,0.0,44.75819396972656,91.03740692138672
SPT,small_3m,22,0.2193158267241329,0.0,28.297687530517578,123.87622833251953
SPT,small_3m,23,0.3333333333333333,0.0,37.32097625732422,118.87896728515625
SPT,small_3m,24,0.27770146548050134,0.0,49.541595458984375,128.1125946044922
SPT,small_3m,25,0.3333333333333333,0.0,47.29057312011719,95.53895568847656
SPT,small_3m,26,0.3333333333333333,0.0,61.0105094909668,129.19021606445312
SPT,small_3m,27,0.20329281970503343,0.0,35.94355773925781,129.4542236328125
SPT,small_3m,28,0.2683524882762682,0.0,51.120731353759766,145.7629852294922
SPT,small_3m,29,0.27433401211019726,0.0,39.30217742919922,111.31126403808594
SPT,small_3m,30,0.2777455663943895,0.0,70.86156463623047,109.95718383789062
SPT,small_3m,31,0.28262910579558087,0.0,43.07563781738281,138.12704467773438
SPT,small_3m,32,0.3082907289229787,0.0,47.261531829833984,92.97883605957031
SPT,small_3m,33,0.3333333333333333,0.0,56.39975357055664,93.46688079833984
SPT,small_3m,34,0.24840611981955227,0.0,38.999046325683594,137.80963134765625
SPT,small_3m,35,0.11571435579070066,0.0,28.3277530670166,110.31908416748047
SPT,small_3m,36,0.17203304251314797,0.0,24.20479393005371,101.95208740234375
SPT,small_3m,37,0.26133573970428314,0.0,39.51921081542969,94.45297241210938
SPT,small_3m,38,0.24863760363962875,0.0,34.52267074584961,112.7918472290039
SPT,small_3m,39,0.3333333333333333,0.0,35.602195739746094,157.0439910888672
